Postcode,1-room,2-room,3-room,4-room,5-room,Executive,HUDC,Multi-generation,Studio Apartment,Type S1,Type S2,X,Y,Latitude,Longitude
85101,0,0,0,0,0,0,0,0,0,176,88,28851.08819,28922.87609,1.27784271,103.8409659
85201,0,0,0,0,0,0,0,0,0,176,88,28899.7792,28918.08794,1.277799407,103.8414034
85301,0,0,0,0,0,0,0,0,0,176,88,28929.07685,28879.35225,1.277449094,103.8416667
85401,0,0,0,0,0,0,0,0,0,176,88,28908.94501,28820.8736,1.276920234,103.8414858
85501,0,0,0,0,0,0,0,0,0,176,88,28872.25746,28787.86124,1.276621683,103.8411561
85601,0,0,0,0,0,0,0,0,0,176,88,28876.22281,28717.68072,1.275986995,103.8411918
85701,0,0,0,0,0,0,0,0,0,176,88,28885.44292,28667.40199,1.275532291,103.8412746
50004,0,0,248,0,2,0,0,0,0,0,0,29067.24185,29360.52226,1.281800622,103.8429082
50005,430,0,0,0,0,0,0,0,0,0,0,29126.13341,29293.81798,1.28119737,103.8434373
50032,0,86,38,3,0,0,0,0,0,0,0,29030.58238,29698.65844,1.284858609,103.8425788
50034,0,0,310,0,5,0,0,0,0,0,0,28999.92876,29850.87634,1.286235215,103.8423033
50532,0,0,116,0,2,0,0,0,0,0,0,29409.7631,29625.12001,1.284193538,103.8459859
50533,0,0,124,0,3,0,0,0,0,0,0,29342.32279,29666.27745,1.284565755,103.8453799
50535,0,0,114,0,3,0,0,0,0,0,0,29436.10478,29668.96062,1.284590016,103.8462225
50536,0,0,114,0,8,0,0,0,0,0,0,29368.85222,29710.18046,1.284962797,103.8456183
50538,0,0,122,0,4,0,0,0,0,0,0,29385.31274,29737.75741,1.285212192,103.8457662
51335,0,0,156,4,1,0,0,0,0,0,0,29060.28206,29395.42915,1.282116308,103.8428456
52335,0,0,0,131,0,0,0,0,0,0,0,29127.34168,29422.87277,1.282364496,103.8434482
80003,0,0,62,0,33,0,0,0,0,0,0,28599.35415,28853.72087,1.277217301,103.838704
80004,0,0,60,0,34,0,0,0,0,0,0,28753.11859,28816.76414,1.276883074,103.8400856
80005,0,0,60,0,34,0,0,0,0,0,0,28683.39205,28794.78883,1.276684338,103.8394591
80006,0,0,62,0,33,0,0,0,0,0,0,28608.8293,28793.62463,1.276673811,103.8387891
80007,0,0,120,0,0,0,0,0,0,0,0,28596.73576,28821.32728,1.276924344,103.8386805
80008,0,0,0,96,0,0,0,0,0,0,0,29068.24705,28859.834,1.277272573,103.8429172
80009,0,0,29,87,29,0,0,0,0,0,0,28655.36517,28641.91493,1.275301801,103.8392073
80011,0,0,29,87,29,0,0,0,0,0,0,28707.03171,28545.07878,1.274426047,103.8396715
80012,0,0,29,87,29,0,0,0,0,0,0,28751.40824,28550.62003,1.27447616,103.8400703
80013,0,0,29,87,29,0,0,0,0,0,0,28797.60781,28575.30938,1.27469944,103.8404854
80016,0,0,29,87,29,0,0,0,0,0,0,28772.6293,28489.11467,1.273919926,103.8402609
80017,0,0,0,58,58,0,0,0,0,0,0,28726.2566,28479.78674,1.273835569,103.8398443
80018,0,0,29,87,29,0,0,0,0,0,0,28678.73971,28487.07098,1.273901446,103.8394173
80019,0,0,0,58,58,0,0,0,0,0,0,28632.66803,28485.09115,1.273883542,103.8390033
80101,0,0,0,76,0,0,0,0,0,0,0,28303.51902,28635.23696,1.275241413,103.8360458
80102,0,0,0,76,0,0,0,0,0,0,0,28324.62918,28578.65778,1.27472973,103.8362355
80103,0,0,0,0,92,2,0,0,0,0,0,28218.27118,28571.05443,1.274660969,103.8352798
80104,0,0,0,0,92,2,0,0,0,0,0,28173.63859,28545.24377,1.274427547,103.8348788
80105,0,0,0,0,92,2,0,0,0,0,0,28129.50154,28475.93647,1.273800756,103.8344822
80106,0,0,0,0,92,2,0,0,0,0,0,28082.30909,28450.05998,1.273566738,103.8340582
80107,0,0,0,0,92,2,0,0,0,0,0,28177.98789,28453.18046,1.273594959,103.8349179
80109,0,0,0,0,88,4,0,0,0,0,0,28371.0666,28501.49237,1.274031873,103.8366527
80333,0,126,0,0,0,0,0,0,0,0,0,29017.74428,29244.16578,1.280748337,103.8424634
80334,0,0,0,88,0,0,0,0,0,0,0,29003.55701,29339.04728,1.281606412,103.8423359
81001,0,0,62,0,33,0,0,0,0,0,0,28743.72096,28876.85814,1.277426543,103.8400012
81002,0,0,60,0,34,0,0,0,0,0,0,28669.11728,28875.72572,1.277416303,103.8393308
81003,0,0,162,0,3,0,0,0,0,0,0,29014.17444,28677.01078,1.275619186,103.8424313
81004,0,0,188,0,11,0,0,0,0,0,0,29048.66757,28708.63701,1.275905201,103.8427412
81005,0,0,164,0,2,0,0,0,0,0,0,29078.14589,28745.71492,1.27624052,103.8430061
81007,0,0,0,96,0,0,0,0,0,0,0,29090.56884,28842.97679,1.277120122,103.8431177
81008,0,0,29,87,29,0,0,0,0,0,0,28635.92956,28697.11516,1.275801013,103.8390326
81110,0,0,0,0,88,4,0,0,0,0,0,28345.20109,28457.9658,1.273638234,103.8364203
82001,0,0,158,0,5,0,0,0,0,0,0,29009.92957,28674.46836,1.275596193,103.8423932
82002,0,0,190,0,10,0,0,0,0,0,0,29033.54262,28634.732,1.275236831,103.8426053
90001,0,0,146,0,2,0,0,0,0,0,0,26283.76531,29101.33564,1.279456601,103.8178976
90003,264,0,0,0,0,0,0,0,0,0,0,26242.48024,29014.1196,1.278667847,103.8175266
90004,264,0,0,0,0,0,0,0,0,0,0,26344.47732,29024.29993,1.27875992,103.8184431
90005,0,0,138,0,6,0,0,0,0,0,0,26430.98437,29020.3308,1.278724029,103.8192204
90006,0,0,132,0,4,0,0,0,0,0,0,26349.03244,28955.84226,1.278140813,103.818484
90007,260,0,2,0,0,0,0,0,0,0,0,26449.19437,28980.23008,1.278361373,103.819384
90008,0,0,65,0,1,0,0,0,0,0,0,26444.44109,28917.6467,1.277795391,103.8193413
90010,0,0,65,0,1,0,0,0,0,0,0,26492.08825,28910.58527,1.277731532,103.8197694
90012,0,0,164,0,2,0,0,0,0,0,0,26463.90319,28850.20363,1.27718546,103.8195162
90013,0,0,168,0,7,0,0,0,0,0,0,26570.64771,28957.90345,1.278159465,103.8204753
90014,0,0,0,25,49,0,0,0,0,0,0,26570.01714,28873.42175,1.277395442,103.8204697
90015,0,0,172,0,4,0,0,0,0,0,0,26602.55934,28836.37973,1.277060448,103.8207621
90016,0,0,174,0,4,0,0,0,0,0,0,26685.20053,28946.20272,1.278053652,103.8215046
90017,0,0,0,87,58,0,0,0,0,0,0,26707.21438,28914.60146,1.277767863,103.8217024
90018,0,0,166,0,8,0,0,0,0,0,0,26799.96789,28930.30098,1.277909847,103.8225358
90019,364,0,0,0,0,0,0,0,0,0,0,26813.00858,28880.86746,1.277462788,103.822653
90020,0,0,170,0,5,0,0,0,0,0,0,26720.1576,28820.40111,1.276915948,103.8218187
90021,0,0,148,0,4,0,0,0,0,0,0,26617.70232,28786.34421,1.276607945,103.8208981
90022,0,0,142,0,7,0,0,0,0,0,0,26497.92879,28780.9566,1.276559216,103.8198219
90023,0,0,0,130,0,0,0,0,0,0,0,26611.17981,28728.0468,1.276080724,103.8208395
90024,0,0,0,130,0,0,0,0,0,0,0,26591.26045,28653.82544,1.275409491,103.8206605
90025,0,0,0,0,96,0,0,0,0,0,0,26428.08584,28756.37425,1.276336898,103.8191944
90026,0,0,0,0,96,0,0,0,0,0,0,26391.61078,28795.77759,1.276693247,103.8188666
90027,0,0,0,156,0,0,0,0,0,0,0,26681.80123,28549.79293,1.274468661,103.8214741
90028,0,0,140,0,2,0,0,0,0,0,0,26614.22953,28492.179,1.273947618,103.8208669
90029,0,154,0,0,0,0,0,0,0,0,0,26641.70075,28463.94003,1.273692236,103.8211138
90030,0,0,110,0,5,0,0,0,0,0,0,26545.33511,28385.77502,1.272985334,103.8202479
90031,0,0,112,0,4,0,0,0,0,0,0,26610.42266,28320.75585,1.272397327,103.8208327
90032,0,0,134,0,5,0,0,0,0,0,0,26702.80978,28401.88706,1.273131053,103.8216629
90033,0,0,164,0,6,0,0,0,0,0,0,26760.80932,28537.99453,1.274361964,103.822184
90034,0,0,0,156,0,0,0,0,0,0,0,26793.8609,28444.65121,1.273517801,103.822481
90035,0,0,28,0,0,0,0,0,0,0,0,26754.04673,28389.83048,1.273022019,103.8221232
90037,0,0,0,0,96,0,0,0,0,0,0,26837.78437,28351.18922,1.272672565,103.8228757
90038,0,0,28,0,0,0,0,0,0,0,0,26763.73684,28313.59868,1.272332606,103.8222103
90039,0,0,0,0,96,0,0,0,0,0,0,26796.90289,28248.87236,1.271747245,103.8225083
90040,0,0,0,168,0,0,0,0,0,0,0,26878.90134,28287.79662,1.272099266,103.8232451
90041,0,182,0,0,0,0,0,0,0,0,0,26850.7437,28218.43151,1.271471951,103.8229921
90042,0,0,148,0,4,0,0,0,0,0,0,26816.60783,28157.25698,1.270918709,103.8226854
90043,0,0,152,0,2,0,0,0,0,0,0,26877.88334,28097.63514,1.270379512,103.823236
90101,0,0,90,50,0,0,0,0,0,0,0,27150.27978,28217.39268,1.271462566,103.8256835
90102,0,0,93,54,0,0,0,0,0,0,0,27260.24873,28266.69303,1.271908423,103.8266717
90103,0,0,68,50,1,0,0,0,0,0,0,27129.36482,28286.28304,1.272085585,103.8254956
90104,0,0,88,44,0,0,0,0,0,0,0,27143.82054,28320.88746,1.272398536,103.8256255
90105,0,0,96,48,0,0,0,0,0,0,0,27041.15544,28330.22885,1.272483013,103.824703
90106,0,0,51,72,0,0,0,0,0,0,0,27143.96785,28386.21887,1.27298937,103.8256268
90107,0,0,84,60,0,0,0,0,0,0,0,27019.51495,28398.6351,1.273101655,103.8245086
90108,0,0,55,121,0,0,0,0,0,0,0,27112.69439,28426.90428,1.273357314,103.8253458
90109,0,0,99,61,0,2,0,0,0,0,0,27108.79261,28490.16252,1.273929399,103.8253108
90110,0,0,53,121,0,1,0,0,0,0,0,27303.21313,28476.31334,1.273804157,103.8270577
90111,0,0,0,114,45,0,0,0,0,0,0,27323.45854,28541.88684,1.274397181,103.8272396
90112,0,0,99,73,0,0,0,0,0,0,0,27178.0351,28556.4106,1.274528526,103.8259329
90113,0,0,0,160,0,0,0,0,0,0,0,27289.25381,28583.12515,1.274770125,103.8269323
90114,0,0,0,132,45,0,0,0,0,0,0,27172.945,28616.48513,1.275071819,103.8258872
90115,0,0,0,136,45,0,0,0,0,0,0,27291.24753,28647.46735,1.275352014,103.8269502
91014,0,0,0,51,24,0,0,0,0,0,0,26598.9988,28913.76583,1.277760301,103.8207301
91017,0,0,0,116,58,0,0,0,0,0,0,26696.25867,28872.00194,1.277382607,103.821604
100044,0,0,234,0,3,0,0,0,0,0,0,25503.59692,28211.46086,1.271408833,103.8108875
100045,0,318,0,2,0,0,0,0,0,0,0,25355.90288,28249.96848,1.271757071,103.8095604
100046,0,0,19,0,0,0,0,0,0,0,0,25388.38003,28242.61935,1.271690611,103.8098523
100047,0,0,102,0,4,0,0,0,0,0,0,25415.61316,28281.72504,1.272044271,103.810097
100048,0,0,0,0,96,0,0,0,0,0,0,25466.53956,28315.16535,1.272346698,103.8105545
100049,0,0,0,0,96,0,0,0,0,0,0,25522.88611,28299.14454,1.272201815,103.8110608
100050,0,0,0,168,0,0,0,0,0,0,0,25420.80161,28397.40159,1.27309041,103.8101436
100051,0,0,0,168,0,0,0,0,0,0,0,25420.99965,28444.17141,1.273513379,103.8101453
100052,0,0,0,0,76,0,0,0,0,0,0,25543.61196,28481.38556,1.273849941,103.8112471
100053,0,0,0,0,76,0,0,0,0,0,0,25564.13413,28530.93473,1.274298048,103.8114314
100054,0,0,116,24,2,0,0,0,0,0,0,25620.96878,28453.43665,1.273597187,103.8119421
100055,0,0,130,22,1,0,0,0,0,0,0,25644.05024,28493.59433,1.27396036,103.8121495
100056,0,0,0,140,0,0,0,0,0,0,0,25675.16436,28525.92396,1.27425274,103.8124291
100057,0,0,0,140,0,0,0,0,0,0,0,25692.69437,28568.00578,1.274633315,103.8125866
100058,0,0,0,120,0,0,0,0,0,0,0,25784.11688,28600.02891,1.274922927,103.8134081
100059,0,0,0,120,0,0,0,0,0,0,0,25804.1761,28647.63182,1.275353433,103.8135883
100060,0,0,172,20,2,2,0,0,0,0,0,25644.907,28727.85787,1.276078958,103.8121572
100061,0,0,160,19,3,1,0,0,0,0,0,25628.19926,28686.50857,1.275705008,103.8120071
100062,0,0,126,22,1,2,0,0,0,0,0,25527.98902,28635.69183,1.275245431,103.8111067
100063,0,0,128,22,1,1,0,0,0,0,0,25509.59195,28589.89743,1.274831282,103.8109414
100064,0,0,164,22,2,4,0,0,0,0,0,25464.42274,28553.97336,1.274506393,103.8105355
100065,0,0,124,20,0,0,0,0,0,0,0,25452.02173,28504.86843,1.274062304,103.8104241
100066,0,0,0,0,76,0,0,0,0,0,0,25363.94187,28512.68335,1.274132973,103.8096326
100067,0,0,0,0,76,0,0,0,0,0,0,25363.95934,28568.37063,1.274636589,103.8096328
100068,0,0,0,112,0,0,0,0,0,0,0,25420.23663,28626.15309,1.275159158,103.8101385
100069,0,0,0,112,0,0,0,0,0,0,0,25439.77431,28673.06653,1.275583428,103.810314
